year,geography_id,geography_name,source_geography_name,irbi_score,risk_class,unit,claim_type,source_family,source_page
2023,idn.13.1374,Padang Panjang,KOTA PADANG PANJANG,113.20,,index_points,official_index,BNPB IRBI 2024,67
2024,idn.13.1374,Padang Panjang,KOTA PADANG PANJANG,113.20,sedang,index_points,official_index,BNPB IRBI 2024,67
2015,idn.13.1304,Sijunjung,SIJUNJUNG,107.20,,index_points,official_index,BNPB IRBI 2024,67
2016,idn.13.1304,Sijunjung,SIJUNJUNG,107.20,,index_points,official_index,BNPB IRBI 2024,67
2017,idn.13.1304,Sijunjung,SIJUNJUNG,107.20,,index_points,official_index,BNPB IRBI 2024,67
2018,idn.13.1304,Sijunjung,SIJUNJUNG,107.20,,index_points,official_index,BNPB IRBI 2024,67
2019,idn.13.1304,Sijunjung,SIJUNJUNG,107.20,,index_points,official_index,BNPB IRBI 2024,67
2020,idn.13.1304,Sijunjung,SIJUNJUNG,107.20,,index_points,official_index,BNPB IRBI 2024,67
2021,idn.13.1304,Sijunjung,SIJUNJUNG,107.20,,index_points,official_index,BNPB IRBI 2024,67
2022,idn.13.1304,Sijunjung,SIJUNJUNG,107.20,,index_points,official_index,BNPB IRBI 2024,67
2023,idn.13.1304,Sijunjung,SIJUNJUNG,107.20,,index_points,official_index,BNPB IRBI 2024,67
2024,idn.13.1304,Sijunjung,SIJUNJUNG,106.73,sedang,index_points,official_index,BNPB IRBI 2024,67
2015,idn.13.1376,Payakumbuh,KOTA PAYAKUMBUH,104.80,,index_points,official_index,BNPB IRBI 2024,67
2016,idn.13.1376,Payakumbuh,KOTA PAYAKUMBUH,104.80,,index_points,official_index,BNPB IRBI 2024,67
2017,idn.13.1376,Payakumbuh,KOTA PAYAKUMBUH,104.80,,index_points,official_index,BNPB IRBI 2024,67
2018,idn.13.1376,Payakumbuh,KOTA PAYAKUMBUH,104.80,,index_points,official_index,BNPB IRBI 2024,67
2019,idn.13.1376,Payakumbuh,KOTA PAYAKUMBUH,104.80,,index_points,official_index,BNPB IRBI 2024,67
2020,idn.13.1376,Payakumbuh,KOTA PAYAKUMBUH,104.80,,index_points,official_index,BNPB IRBI 2024,67
2021,idn.13.1376,Payakumbuh,KOTA PAYAKUMBUH,104.80,,index_points,official_index,BNPB IRBI 2024,67
2022,idn.13.1376,Payakumbuh,KOTA PAYAKUMBUH,104.80,,index_points,official_index,BNPB IRBI 2024,67
2023,idn.13.1376,Payakumbuh,KOTA PAYAKUMBUH,104.80,,index_points,official_index,BNPB IRBI 2024,67
2024,idn.13.1376,Payakumbuh,KOTA PAYAKUMBUH,104.80,sedang,index_points,official_index,BNPB IRBI 2024,67
