geography_id,canonical_name,djpk_province_selector,djpk_pemda_selector,djpk_source_name,year,period_selector,conceptual_family,source_account_label,source_account_label_normalized,budget_rupiah_raw,realization_rupiah_raw,realization_idr_billion,percentage_raw,html_display_realization_raw,html_crosscheck_status,taxonomy_contract_type,claim_type,html_response_sha256,export_response_sha256
idn.13.1307,Agam,03,02,Kab. Agam,2021,12,own_source_revenue_pad,PAD,pad,110526600179,129154679030,129.15467903,116.85,"129,15 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,cbbee61b61f465e8be7a8e3afdc026b163bc9bc4bba4e081da07501993531071,cc7a049037e157330f6c03fad764fe9033269802ada54f265d231687400672a8
idn.13.1307,Agam,03,02,Kab. Agam,2021,12,total_expenditure,Belanja Daerah,belanja daerah,1523020755018,1368645115805,1368.645115805,89.86,"1.368,65 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,cbbee61b61f465e8be7a8e3afdc026b163bc9bc4bba4e081da07501993531071,cc7a049037e157330f6c03fad764fe9033269802ada54f265d231687400672a8
idn.13.1307,Agam,03,02,Kab. Agam,2021,12,capital_expenditure,Belanja Modal,belanja modal,190157460027,142409062383,142.409062383,74.89,"142,41 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,cbbee61b61f465e8be7a8e3afdc026b163bc9bc4bba4e081da07501993531071,cc7a049037e157330f6c03fad764fe9033269802ada54f265d231687400672a8
idn.13.1307,Agam,03,02,Kab. Agam,2022,12,total_revenue,Pendapatan Daerah,pendapatan daerah,1408660988810,1390308369747.1,1390.3083697471,98.70,"1.390,31 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,464c4bd331c8eac3e85a062dc08d83c7486cf43b640dd15f2392c74f132e2d4e,8260d5f260589dd53045620df3562d89834965dfa438a7961539ef869964cd90
idn.13.1307,Agam,03,02,Kab. Agam,2022,12,own_source_revenue_pad,PAD,pad,150586042465,156668962118.09,156.66896211809,104.04,"156,67 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,464c4bd331c8eac3e85a062dc08d83c7486cf43b640dd15f2392c74f132e2d4e,8260d5f260589dd53045620df3562d89834965dfa438a7961539ef869964cd90
idn.13.1307,Agam,03,02,Kab. Agam,2022,12,total_expenditure,Belanja Daerah,belanja daerah,1499040834125,1437208850221.4,1437.2088502214,95.88,"1.437,21 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,464c4bd331c8eac3e85a062dc08d83c7486cf43b640dd15f2392c74f132e2d4e,8260d5f260589dd53045620df3562d89834965dfa438a7961539ef869964cd90
idn.13.1307,Agam,03,02,Kab. Agam,2022,12,capital_expenditure,Belanja Modal,belanja modal,189853185676,164566544086,164.566544086,86.68,"164,57 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,464c4bd331c8eac3e85a062dc08d83c7486cf43b640dd15f2392c74f132e2d4e,8260d5f260589dd53045620df3562d89834965dfa438a7961539ef869964cd90
idn.13.1307,Agam,03,02,Kab. Agam,2023,12,total_revenue,Pendapatan Daerah,pendapatan daerah,1467880451816,1335463169961.2,1335.4631699612,90.98,"1.335,46 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,67eb0c6c64227e02d0be12dfe82e1a5d3a9fc1cab2258da5b0ee3f9795819800,8378124c14b2e9a55a1d90716b8b38285c2577695c7c151eaa098381f5a3cd73
idn.13.1307,Agam,03,02,Kab. Agam,2023,12,own_source_revenue_pad,PAD,pad,210891309281,136131158901.21,136.13115890121,64.55,"136,13 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,67eb0c6c64227e02d0be12dfe82e1a5d3a9fc1cab2258da5b0ee3f9795819800,8378124c14b2e9a55a1d90716b8b38285c2577695c7c151eaa098381f5a3cd73
idn.13.1307,Agam,03,02,Kab. Agam,2023,12,total_expenditure,Belanja Daerah,belanja daerah,1559880451816,1316359471837.5,1316.3594718375,84.39,"1.316,36 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,67eb0c6c64227e02d0be12dfe82e1a5d3a9fc1cab2258da5b0ee3f9795819800,8378124c14b2e9a55a1d90716b8b38285c2577695c7c151eaa098381f5a3cd73
