indicator_id,geography_id,outer_held_year,selected_penalty,hierarchical_slope_per_year
mean_years_schooling,idn.13.1308,2022,0.01,0.0578379303612068
mean_years_schooling,idn.13.1309,2022,0.01,0.08068126826875081
mean_years_schooling,idn.13.1310,2022,0.01,0.1465676585335784
mean_years_schooling,idn.13.1311,2022,0.01,0.13021967136413287
mean_years_schooling,idn.13.1312,2022,0.01,0.19974181218010653
mean_years_schooling,idn.13.1371,2022,0.01,0.04420390847755695
mean_years_schooling,idn.13.1372,2022,0.01,0.06551372624185639
mean_years_schooling,idn.13.1373,2022,0.01,0.09305630801743241
mean_years_schooling,idn.13.1374,2022,0.01,0.09344182221064648
mean_years_schooling,idn.13.1375,2022,0.01,0.06181565829455273
mean_years_schooling,idn.13.1376,2022,0.01,0.0674692973530479
mean_years_schooling,idn.13.1377,2022,0.01,0.12984252306793745
mean_years_schooling,idn.13.1301,2023,0.1,0.18849073296777855
mean_years_schooling,idn.13.1302,2023,0.1,0.12700257755970049
mean_years_schooling,idn.13.1303,2023,0.1,0.044690794498126254
mean_years_schooling,idn.13.1304,2023,0.1,0.11962948390172141
mean_years_schooling,idn.13.1305,2023,0.1,0.15505514205669
mean_years_schooling,idn.13.1306,2023,0.1,0.1600549223054482
mean_years_schooling,idn.13.1307,2023,0.1,0.10544410175431232
mean_years_schooling,idn.13.1308,2023,0.1,0.06146572527648515
mean_years_schooling,idn.13.1309,2023,0.1,0.08413702136930797
mean_years_schooling,idn.13.1310,2023,0.1,0.1456427568767136
mean_years_schooling,idn.13.1311,2023,0.1,0.1341752580853456
mean_years_schooling,idn.13.1312,2023,0.1,0.19779412153192397
mean_years_schooling,idn.13.1371,2023,0.1,0.044001654604486004
mean_years_schooling,idn.13.1372,2023,0.1,0.06409043410609021
mean_years_schooling,idn.13.1373,2023,0.1,0.09377267381074428
mean_years_schooling,idn.13.1374,2023,0.1,0.09211487044415545
mean_years_schooling,idn.13.1375,2023,0.1,0.06037048508837799
mean_years_schooling,idn.13.1376,2023,0.1,0.0680020062064723
mean_years_schooling,idn.13.1377,2023,0.1,0.13475364335322246
mean_years_schooling,idn.13.1301,2024,0.1,0.18263947066066405
mean_years_schooling,idn.13.1302,2024,0.1,0.12184883527551445
mean_years_schooling,idn.13.1303,2024,0.1,0.05090989375475667
mean_years_schooling,idn.13.1304,2024,0.1,0.1221623117895764
mean_years_schooling,idn.13.1305,2024,0.1,0.14801618808539513
mean_years_schooling,idn.13.1306,2024,0.1,0.17070553881204537
mean_years_schooling,idn.13.1307,2024,0.1,0.11315680611029462
mean_years_schooling,idn.13.1308,2024,0.1,0.06856377997071805
mean_years_schooling,idn.13.1309,2024,0.1,0.09251894092503574
mean_years_schooling,idn.13.1310,2024,0.1,0.14600636714397336
mean_years_schooling,idn.13.1311,2024,0.1,0.12846358652793263
mean_years_schooling,idn.13.1312,2024,0.1,0.19920015713454933
mean_years_schooling,idn.13.1371,2024,0.1,0.04548159158720551
mean_years_schooling,idn.13.1372,2024,0.1,0.0655182961157508
mean_years_schooling,idn.13.1373,2024,0.1,0.09350897118147147
mean_years_schooling,idn.13.1374,2024,0.1,0.09214395952530383
mean_years_schooling,idn.13.1375,2024,0.1,0.06152643063288758
mean_years_schooling,idn.13.1376,2024,0.1,0.07278182471056227
mean_years_schooling,idn.13.1377,2024,0.1,0.12833065661374185
mean_years_schooling,idn.13.1301,2025,0.01,0.1783738539834179
mean_years_schooling,idn.13.1302,2025,0.01,0.10158425372672826
mean_years_schooling,idn.13.1303,2025,0.01,0.012597320119762157
mean_years_schooling,idn.13.1304,2025,0.01,0.131544003009554
mean_years_schooling,idn.13.1305,2025,0.01,0.14213842382174807
mean_years_schooling,idn.13.1306,2025,0.01,0.14832871091387992
mean_years_schooling,idn.13.1307,2025,0.01,0.08508800400073199
mean_years_schooling,idn.13.1308,2025,0.01,0.03073841683267322
mean_years_schooling,idn.13.1309,2025,0.01,0.07172108075030378
mean_years_schooling,idn.13.1310,2025,0.01,0.11761541229295133
mean_years_schooling,idn.13.1311,2025,0.01,0.0994148449071514
mean_years_schooling,idn.13.1312,2025,0.01,0.1874566014522611
