regime_id,geography_id,geography_name,target_year,feature_year,poverty_rate,unemployment_rate,real_grdp_growth,lag1_poverty_rate,lag1_unemployment_rate,lag1_real_grdp_growth,lag1_mean_years_schooling,lag1_labor_force_participation,lag1_rice_yield
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1375,Bukittinggi,2021,2020,5.14,6.09,3.61,4.54,7.51,-1.74,11.33,69.84,6.091
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1375,Bukittinggi,2022,2021,4.46,4.9,4.67,5.14,6.09,3.61,11.34,67.42,6.9319999999999995
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1375,Bukittinggi,2023,2022,4.11,4.99,4.79,4.46,4.9,4.67,11.63,64.43,6.609000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1375,Bukittinggi,2024,2023,4.08,4.72,4.52,4.11,4.99,4.79,11.64,70.27,6.325
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1375,Bukittinggi,2025,2024,3.78,4.41,3.51,4.08,4.72,4.52,11.65,69.96,6.311
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1376,Payakumbuh,2019,2018,5.68,4.13,5.89,5.77,3.95,6.02,10.46,70.81,4.7
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1376,Payakumbuh,2020,2019,5.65,6.68,-1.65,5.68,4.13,5.89,10.72,68.76,4.557
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1376,Payakumbuh,2021,2020,6.16,6.47,3.58,5.65,6.68,-1.65,10.73,68.68,4.916
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1376,Payakumbuh,2022,2021,5.66,5.16,4.51,6.16,6.47,3.58,10.81,71.73,5.002000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1376,Payakumbuh,2023,2022,5.44,4.84,4.7,5.66,5.16,4.51,10.82,70.06,5.4990000000000006
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1376,Payakumbuh,2024,2023,5.19,4.87,4.53,5.44,4.84,4.7,10.88,71.86,5.231000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1376,Payakumbuh,2025,2024,4.95,4.96,3.55,5.19,4.87,4.53,10.89,70.53,4.757000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1377,Pariaman,2019,2018,4.76,5.48,5.3,5.03,5.82,5.47,10.36,67.0,4.95
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1377,Pariaman,2020,2019,4.1,5.73,-1.32,4.76,5.48,5.3,10.37,69.36,5.6450000000000005
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1377,Pariaman,2021,2020,4.38,6.09,3.51,4.1,5.73,-1.32,10.59,64.16,4.905
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1377,Pariaman,2022,2021,4.13,5.19,4.53,4.38,6.09,3.51,10.67,62.7,4.711
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1377,Pariaman,2023,2022,4.2,5.68,4.79,4.13,5.19,4.53,10.78,67.76,5.1930000000000005
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1377,Pariaman,2024,2023,4.26,5.32,4.51,4.2,5.68,4.79,10.79,71.23,4.894
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1377,Pariaman,2025,2024,3.83,5.16,3.46,4.26,5.32,4.51,11.06,69.92,4.889
