regime_id,geography_id,geography_name,analysis_year,expected_years_schooling,mean_years_schooling,life_expectancy,labor_force_participation,unemployment_rate,poverty_rate,real_grdp_growth,agriculture_share_grdp,manufacturing_share_grdp,rice_yield,underemployment_rate,population_total,annual_rainfall,flood_events,landslide_events
sumbar_current_kabkota_2018_2025_v1,idn.13.1374,Padang Panjang,2020,15.06,11.62,73.83,69.81,7.22,5.24,-1.44,5.148904697646766,8.433305091041857,5.767,6.44,56311.0,2811.671422,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1374,Padang Panjang,2021,15.07,11.63,73.93,65.94,4.9,5.92,3.46,5.120157681445877,8.476439856280523,6.291,6.58,,3026.154770,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1374,Padang Panjang,2022,15.07,11.92,74.03,64.02,4.84,5.14,4.39,5.136365646285013,8.31403125490252,7.001000000000001,2.04,,3651.476589,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1374,Padang Panjang,2023,15.29,11.94,74.24,66.05,5.49,5.24,4.84,5.075456082902607,8.338894582642023,6.397,5.75,,2824.530171,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1374,Padang Panjang,2024,15.47,12.0,74.48,66.33,4.94,5.31,4.52,,,5.886,6.58,,3247.774615,1,0
sumbar_current_kabkota_2018_2025_v1,idn.13.1374,Padang Panjang,2025,15.74,12.01,74.86,69.2,5.07,4.97,3.61,,,6.925000000000001,,,3001.704285,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1375,Bukittinggi,2018,14.95,11.31,,69.15,7.24,4.92,6.0,1.2030091610750007,5.656832750372341,5.863,3.63,,2342.492157,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1375,Bukittinggi,2019,14.96,11.32,,65.55,6.2,4.6,5.84,1.1444074375113524,5.028254629591918,6.541,2.12,,1779.855058,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1375,Bukittinggi,2020,14.97,11.33,74.58,69.84,7.51,4.54,-1.74,1.175438847645525,5.1854484431226435,6.091,8.89,121028.0,2266.408824,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1375,Bukittinggi,2021,14.98,11.34,74.7,67.42,6.09,5.14,3.61,1.1553245875076872,5.116680614276401,6.9319999999999995,7.9,,2376.071718,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1375,Bukittinggi,2022,14.99,11.63,75.02,64.43,4.9,4.46,4.67,1.0987632320436223,4.943878875316141,6.609000000000001,4.25,,3069.580420,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1375,Bukittinggi,2023,15.01,11.64,75.33,70.27,4.99,4.11,4.79,1.0596627999226635,5.0102929353075485,6.325,7.07,,2354.011592,,
