excluded_geography_id,excluded_geography_name,named_influence_gate_geography,event_time,calendar_year,coefficient_log_points_per_1sd_pga,full_sample_coefficient,change_from_full_sample,absolute_change_from_full_sample
idn.13.1374,Kota Padang Panjang,False,2,2011,-0.006308057357126937,-0.00510864520700105,-0.001199412150125887,0.001199412150125887
idn.13.1374,Kota Padang Panjang,False,3,2012,-0.005946191600206152,-0.004768365760008386,-0.001177825840197766,0.001177825840197766
idn.13.1374,Kota Padang Panjang,False,4,2013,-0.005404867623842957,-0.004329683022264108,-0.001075184601578849,0.001075184601578849
idn.13.1375,Kota Bukittinggi,False,-4,2005,-0.013173449697388123,-0.013294672141391524,0.00012122244400340071,0.00012122244400340071
idn.13.1375,Kota Bukittinggi,False,-3,2006,-0.0015689459790350782,-0.0017209094519789242,0.00015196347294384595,0.00015196347294384595
idn.13.1375,Kota Bukittinggi,False,-2,2007,-0.0008841519032116481,-0.0009598610224034408,7.57091191917927e-05,7.57091191917927e-05
idn.13.1375,Kota Bukittinggi,False,0,2009,-0.003717706452647595,-0.0037002512335674352,-1.7455219080159817e-05,1.7455219080159817e-05
idn.13.1375,Kota Bukittinggi,False,1,2010,-0.00505503328422493,-0.004997115740192616,-5.7917544032313334e-05,5.7917544032313334e-05
idn.13.1375,Kota Bukittinggi,False,2,2011,-0.0051879681721716565,-0.00510864520700105,-7.932296517060636e-05,7.932296517060636e-05
idn.13.1375,Kota Bukittinggi,False,3,2012,-0.00486576256014315,-0.004768365760008386,-9.73968001347636e-05,9.73968001347636e-05
idn.13.1375,Kota Bukittinggi,False,4,2013,-0.004422993655994967,-0.004329683022264108,-9.331063373085868e-05,9.331063373085868e-05
idn.13.1376,Kota Payakumbuh,False,-4,2005,-0.013213867951135282,-0.013294672141391524,8.080419025624161e-05,8.080419025624161e-05
idn.13.1376,Kota Payakumbuh,False,-3,2006,-0.001615960253351709,-0.0017209094519789242,0.00010494919862721517,0.00010494919862721517
idn.13.1376,Kota Payakumbuh,False,-2,2007,-0.0009096079076908538,-0.0009598610224034408,5.025311471258697e-05,5.025311471258697e-05
idn.13.1376,Kota Payakumbuh,False,0,2009,-0.0037436221714271566,-0.0037002512335674352,-4.337093785972135e-05,4.337093785972135e-05
idn.13.1376,Kota Payakumbuh,False,1,2010,-0.005099682972018595,-0.004997115740192616,-0.00010256723182597901,0.00010256723182597901
idn.13.1376,Kota Payakumbuh,False,2,2011,-0.0052871240779297024,-0.00510864520700105,-0.00017847887092865226,0.00017847887092865226
idn.13.1376,Kota Payakumbuh,False,3,2012,-0.005006502624284703,-0.004768365760008386,-0.00023813686427631708,0.00023813686427631708
idn.13.1376,Kota Payakumbuh,False,4,2013,-0.004615206700594232,-0.004329683022264108,-0.00028552367833012404,0.00028552367833012404
idn.13.1377,Kota Pariaman,True,-4,2005,-0.02100449007173849,-0.013294672141391524,-0.007709817930346967,0.007709817930346967
idn.13.1377,Kota Pariaman,True,-3,2006,-0.0034983867016061864,-0.0017209094519789242,-0.0017774772496272622,0.0017774772496272622
idn.13.1377,Kota Pariaman,True,-2,2007,-0.001775384148152283,-0.0009598610224034408,-0.0008155231257488423,0.0008155231257488423
idn.13.1377,Kota Pariaman,True,0,2009,-0.0034809917498144845,-0.0037002512335674352,0.00021925948375295075,0.00021925948375295075
idn.13.1377,Kota Pariaman,True,1,2010,-0.004364793120609165,-0.004997115740192616,0.0006323226195834517,0.0006323226195834517
idn.13.1377,Kota Pariaman,True,2,2011,-0.004416991759556838,-0.00510864520700105,0.0006916534474442123,0.0006916534474442123
idn.13.1377,Kota Pariaman,True,3,2012,-0.0036344453254035236,-0.004768365760008386,0.0011339204346048626,0.0011339204346048626
idn.13.1377,Kota Pariaman,True,4,2013,-0.0027389024918127447,-0.004329683022264108,0.0015907805304513634,0.0015907805304513634
