dimension_tuple_sha256,multiplicity,page_count,page_paths,distinct_full_row_hash_count,full_row_hashes,exact_full_row_duplicate,crosses_page_boundary,differing_non_dimension_fields
e6e6a306477f05dfb1e69dbe10456b0a2bdbdd0745b25294f0381726f162cfc0,3,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,1,460b320f7a4bc3da4845ade6acc110c0d6064ea87b88c32a5ab750f7f9db46e7,true,false,
ea0f58b2b1a70e97959a56a3eee898e29020ffa403adbe532d0d8ced48e93b80,3,2,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json|data/processed/bkpm/m27_full_history/2024/q1/page-001000.json,3,549c267888b27cedb6b9e5dbf65b46bd15bef8e0d256871cb2ee854eb11200f1|5986a218f750dbb86a6c3606d886b3348938926bdefe2567637e299cc5a2e2f9|73127860577ff1d70a1af5f3d5ee643cb59f9f87332b930b742beea5c71f686b,false,true,investasi_rp_juta|investasi_us_ribu
eba32339bc30d665a31856ddefd4d7d56e00405e5f18118855edaa6d547cfa75,21,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,4,1b6747951469f5be5c7e66ef57ce63fa1e7f46013912e00a324c26cd537d4159|69fbff2af1edea76fd5705db49bf9b744d99c3640ba372e14039fa5916ab7326|a1a04c303f13b51a23c75f2e067e20c6d78c875d7d2586a1d108aea1896b11af|e5fa6f9f891a1b91456d6bc57c5791648b50208e08f21cb2876b9209fe7e25ed,false,false,investasi_rp_juta|investasi_us_ribu|tki
eccd9cba9cfe6ebf5652ca2366fc2dd872829923c9ee399235824b85a5605c15,4,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,3,9e561458f0f8d87e931338b460cfde544017e26cd6247f69aa2dc89d660d9c75|ba4dd616385693c25d99722ec02400b7714daa6ce375c55570bfc47da5b21c3f|c667d669dd4ea5554a3aa48a0c95b1fd95cacd8ba81dff117f1f3fcec4a4202b,false,false,investasi_rp_juta|investasi_us_ribu
ef8c661a1580ea7169a3e85e8d490a56c0be1bc58ac8202d8a533e96e06232c2,5,2,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json|data/processed/bkpm/m27_full_history/2024/q1/page-001000.json,3,5741e8f7d163d23969c26378e2ce68f225e575210342fa7ebe71ea5046ab10b3|a673d08dd47f063dc6ab05a60334be41c05bc3a432288ae23d4f7133617014ee|aaa49f79c50c8e205b5f07f3abc3f59133a9b0015257022f2cd220bc49570c99,false,true,investasi_rp_juta|investasi_us_ribu
f1325a717eef611d9199abebff9cd404e09fee276ce7cea750bcdda257bc863e,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,2,46896847b1e1d8fc04cd4835c5e9bdd9beccd816d0457e9a6d725cbed715a99b|cc079d73f02ed6eb95392a3ffb3ef0878446ceac64a0d171f980c08c8b9dd218,false,false,investasi_rp_juta|investasi_us_ribu
f1c41a00aa280b17b61eec79ca301f2b595dce91186dc116d05593dafe3e7ac0,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,2,3aa6cb5ec0a5666b7a3162b4903b8b1b320bf008f98167f2a49256ad23127e4b|a5688144895058f0b35be045d9dcd203aa46f89155482ce1645bdfba27ecde5f,false,false,investasi_rp_juta|investasi_us_ribu|tki
f1ef59f9c81006008c9dbe1f7485f3c324889036e0e70a60aa683d2b65d91d2e,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,2,a4239c1d10cbdee16acce6a41594ec708c80cb7dac6de77bbc919948a261c695|cbfa16d56b269910f7c3a64d13b8a4895493e223db31cd532aa6b50585c4a784,false,false,investasi_rp_juta|investasi_us_ribu
f311ea79cb8cf8c2f7b17b9bae5201f05088369f1c70bdb348b182a43fb47d11,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,2,e934fc0bb459a0f0cf2d2bd656e9e366fbe0a862ff4af62f8edb163b7f75fc36|f6b1af9e4c670944411244a56a7e07036e92a229571a7e73ef4500ee29526a04,false,false,investasi_rp_juta|investasi_us_ribu|tki
f4c5086a2c4ec10394e399b65fb693a311afba97b199e598edc54caf6ab6f9c2,6,2,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json|data/processed/bkpm/m27_full_history/2024/q1/page-001000.json,5,0268c970395e4b2cd5d863dedf6d28393ecb3d761b67941d927676c3ab9079df|5909eb305918e708d656c0de3aff2af664dd833efbfcfad1168c175abef32757|78570b5aedd8b85c699f81f72354af7c23336315be5d287180f5870e59852ed7|b2879afa90a0a9173e71e58fa627e84ba05cf50473895bd02e4fbbac6b49b6c9|eec29d73606d4af5c12e15301a1cd3cf6e50893fd38775b8deb3f655348e3936,false,true,investasi_rp_juta|investasi_us_ribu|tki
