regime_id,geography_id,geography_name,target_year,feature_year,lag1_mean_years_schooling,lag1_labor_force_participation,lag1_agriculture_share_grdp,lag1_manufacturing_share_grdp,lag1_rice_yield,lag1_annual_rainfall,poverty_rate,unemployment_rate,real_grdp_growth
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1375,Bukittinggi,2021,2020,11.33,69.84,1.17543884765,5.18544844312,6.091,2266.408824,5.14,6.09,3.61
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1375,Bukittinggi,2022,2021,11.34,67.42,1.15532458751,5.11668061428,6.932,2376.071718,4.46,4.9,4.67
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1375,Bukittinggi,2023,2022,11.63,64.43,1.09876323204,4.94387887532,6.609,3069.58042,4.11,4.99,4.79
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1375,Bukittinggi,2024,2023,11.64,70.27,1.05966279992,5.01029293531,6.325,2354.011592,4.08,4.72,4.52
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1376,Payakumbuh,2019,2018,10.46,70.81,6.74568666378,5.13197800388,4.7,2345.409702,5.68,4.13,5.89
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1376,Payakumbuh,2020,2019,10.72,68.76,6.35201586901,4.79582456222,4.557,1841.05296,5.65,6.68,-1.65
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1376,Payakumbuh,2021,2020,10.73,68.68,6.43908109558,4.86110066153,4.916,2261.885902,6.16,6.47,3.58
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1376,Payakumbuh,2022,2021,10.81,71.73,6.08052573051,5.02947305367,5.002,2362.419395,5.66,5.16,4.51
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1376,Payakumbuh,2023,2022,10.82,70.06,5.89164982016,4.92087613836,5.499,3156.634559,5.44,4.84,4.7
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1376,Payakumbuh,2024,2023,10.88,71.86,5.70893830518,4.82766862828,5.231,2473.81129,5.19,4.87,4.53
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1377,Pariaman,2019,2018,10.36,67,18.6567493293,7.43589374841,4.95,4484.663075,4.76,5.48,5.3
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1377,Pariaman,2020,2019,10.37,69.36,18.2742588513,6.85892858137,5.645,3462.772703,4.1,5.73,-1.32
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1377,Pariaman,2021,2020,10.59,64.16,18.3733318862,6.88659240765,4.905,4428.394673,4.38,6.09,3.51
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1377,Pariaman,2022,2021,10.67,62.7,17.9333938842,7.04471193276,4.711,4955.780563,4.13,5.19,4.53
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1377,Pariaman,2023,2022,10.78,67.76,17.7335341539,6.97301520769,5.193,5719.996265,4.2,5.68,4.79
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1377,Pariaman,2024,2023,10.79,71.23,17.6659347554,6.88962359437,4.894,4147.905615,4.26,5.32,4.51
