target_id,outer_holdout_geography_id,model_variant,selected_penalty,parameter_type,parameter_id,coefficient
unemployment_rate,idn.13.1302,primary,100,intercept,intercept_base_2019,4.92352244614
unemployment_rate,idn.13.1302,primary,100,standardized_continuous_feature,agriculture_share_grdp,-0.251478332261
unemployment_rate,idn.13.1302,primary,100,standardized_continuous_feature,labor_force_participation,-0.433060098409
unemployment_rate,idn.13.1302,primary,100,standardized_continuous_feature,manufacturing_share_grdp,0.350478077841
unemployment_rate,idn.13.1302,primary,100,standardized_continuous_feature,mean_years_schooling,0.220826202557
unemployment_rate,idn.13.1302,primary,100,standardized_continuous_feature,rice_yield,-0.0284883132342
unemployment_rate,idn.13.1302,primary,100,target_year_effect,2019,0
unemployment_rate,idn.13.1302,primary,100,target_year_effect,2020,1.3130208582
unemployment_rate,idn.13.1302,primary,100,target_year_effect,2021,0.684356734794
unemployment_rate,idn.13.1302,primary,100,target_year_effect,2022,0.290665938362
unemployment_rate,idn.13.1302,primary,100,target_year_effect,2023,0.259306117772
unemployment_rate,idn.13.1302,primary,100,target_year_effect,2024,0.178737896225
unemployment_rate,idn.13.1303,primary,100,intercept,intercept_base_2019,5.01265086534
unemployment_rate,idn.13.1303,primary,100,standardized_continuous_feature,agriculture_share_grdp,-0.244461508269
unemployment_rate,idn.13.1303,primary,100,standardized_continuous_feature,labor_force_participation,-0.451336111046
unemployment_rate,idn.13.1303,primary,100,standardized_continuous_feature,manufacturing_share_grdp,0.35747152628
unemployment_rate,idn.13.1303,primary,100,standardized_continuous_feature,mean_years_schooling,0.235668304022
unemployment_rate,idn.13.1303,primary,100,standardized_continuous_feature,rice_yield,-0.042448951669
unemployment_rate,idn.13.1303,primary,100,target_year_effect,2019,0
unemployment_rate,idn.13.1303,primary,100,target_year_effect,2020,1.38043094127
unemployment_rate,idn.13.1303,primary,100,target_year_effect,2021,0.650452242416
unemployment_rate,idn.13.1303,primary,100,target_year_effect,2022,0.134730697538
