target_id,dimension_id,geography_id,geography_name,target_year,feature_year,expected_gap_rmse_units,favorable_peer_gap_rmse_units,m11_support_warning,gap_interpretation_authorized,expected_interval_classification,lag1_expected_years_schooling,lag1_life_expectancy,lag1_underemployment_rate,lag1_annual_rainfall
unemployment_rate,labor_market,idn.13.1303,Solok,2024,2023,0.753742520768,1.87510805472,false,true,within_expected_interval,13.55,72.31,8.31,2818.463029
unemployment_rate,labor_market,idn.13.1304,Sijunjung,2021,2020,-0.776481032439,0.344884501513,false,true,within_expected_interval,12.37,71.78,13.42,2803.058049
unemployment_rate,labor_market,idn.13.1304,Sijunjung,2022,2021,0.236125533245,1.3574910672,false,true,within_expected_interval,12.38,71.93,13.09,3087.590832
unemployment_rate,labor_market,idn.13.1304,Sijunjung,2023,2022,0.010207988531,1.13157352248,false,true,within_expected_interval,12.64,72.27,12.67,3743.084717
unemployment_rate,labor_market,idn.13.1304,Sijunjung,2024,2023,0.0612996777809,1.18266521173,false,true,within_expected_interval,12.72,72.59,11.69,2940.515772
unemployment_rate,labor_market,idn.13.1305,Tanah Datar,2021,2020,-0.761639838842,0.296839358923,false,true,within_expected_interval,14.33,73.5,11.47,2639.181013
unemployment_rate,labor_market,idn.13.1305,Tanah Datar,2022,2021,0.11350056929,1.17197976705,false,true,within_expected_interval,14.34,73.69,7.86,2757.306452
unemployment_rate,labor_market,idn.13.1305,Tanah Datar,2023,2022,0.00468279825719,1.06316199602,false,true,within_expected_interval,14.59,73.84,5.54,3501.612179
unemployment_rate,labor_market,idn.13.1305,Tanah Datar,2024,2023,-0.0716250547325,0.986854143031,false,true,within_expected_interval,14.78,74.19,8.47,2729.635347
unemployment_rate,labor_market,idn.13.1306,Padang Pariaman,2021,2020,1.47243575668,2.59380129063,false,true,within_expected_interval,13.67,73.48,12.39,4146.372331
unemployment_rate,labor_market,idn.13.1306,Padang Pariaman,2022,2021,0.425772990873,1.54713852483,false,true,within_expected_interval,13.68,73.58,11.73,4501.844729
unemployment_rate,labor_market,idn.13.1306,Padang Pariaman,2023,2022,0.872280520067,1.99364605402,false,true,within_expected_interval,13.93,73.67,8.45,5260.041094
unemployment_rate,labor_market,idn.13.1306,Padang Pariaman,2024,2023,0.533317565848,1.6546830998,false,true,within_expected_interval,14.19,73.77,9.38,3949.497823
unemployment_rate,labor_market,idn.13.1307,Agam,2021,2020,-0.404205740671,0.68489161311,false,true,within_expected_interval,13.87,73.79,17.42,2943.171289
unemployment_rate,labor_market,idn.13.1307,Agam,2022,2021,-0.467062341739,0.622035012042,false,true,within_expected_interval,13.88,73.91,10.92,3054.359145
unemployment_rate,labor_market,idn.13.1307,Agam,2023,2022,-0.0425467334288,1.04655062035,false,true,within_expected_interval,13.88,74.07,8.73,3760.57359
unemployment_rate,labor_market,idn.13.1307,Agam,2024,2023,-0.428203789417,0.660893564364,false,true,within_expected_interval,13.89,74.22,11.25,2907.477107
unemployment_rate,labor_market,idn.13.1308,Lima Puluh Kota,2021,2020,-1.65983843069,-0.635287326927,false,true,materially_more_favorable_than_expected,13.29,72.74,12.84,2625.799332
unemployment_rate,labor_market,idn.13.1308,Lima Puluh Kota,2022,2021,-0.596083577905,0.428467525853,false,true,within_expected_interval,13.3,72.79,10.23,2740.063992
unemployment_rate,labor_market,idn.13.1308,Lima Puluh Kota,2023,2022,-0.249843867851,0.774707235909,false,true,within_expected_interval,13.4,73.03,8.46,3506.769514
unemployment_rate,labor_market,idn.13.1308,Lima Puluh Kota,2024,2023,-0.49195838889,0.532592714868,false,true,within_expected_interval,13.41,73.25,7.11,2875.883297
unemployment_rate,labor_market,idn.13.1309,Pasaman,2021,2020,0.990659194303,2.11202472826,false,true,within_expected_interval,12.8,71.15,16.52,3188.559896
unemployment_rate,labor_market,idn.13.1309,Pasaman,2022,2021,1.14669392093,2.26805945488,false,true,within_expected_interval,12.81,71.34,15.45,3303.601986
unemployment_rate,labor_market,idn.13.1309,Pasaman,2023,2022,1.53449948359,2.65586501754,false,true,within_expected_interval,13.05,71.71,15.06,3965.730773
unemployment_rate,labor_market,idn.13.1309,Pasaman,2024,2023,1.40838525776,2.52975079172,false,true,within_expected_interval,13.25,72.04,13.25,3431.683071
unemployment_rate,labor_market,idn.13.1310,Solok Selatan,2021,2020,-0.0058348626353,1.11553067132,false,true,within_expected_interval,12.71,71.32,15.06,2839.225367
unemployment_rate,labor_market,idn.13.1310,Solok Selatan,2022,2021,-0.471156896212,0.650208637741,false,true,within_expected_interval,12.72,71.52,14.69,3128.814974
unemployment_rate,labor_market,idn.13.1310,Solok Selatan,2023,2022,-0.793897891541,0.327467642411,false,true,within_expected_interval,12.73,71.89,8.67,3535.487002
unemployment_rate,labor_market,idn.13.1310,Solok Selatan,2024,2023,-1.03335155425,0.0880139797055,false,true,within_expected_interval,12.8,72.22,10.4,2800.576874
unemployment_rate,labor_market,idn.13.1311,Dharmasraya,2021,2020,0.0567684514719,1.17813398542,false,true,within_expected_interval,12.43,73.04,9.79,3039.796046
unemployment_rate,labor_market,idn.13.1311,Dharmasraya,2022,2021,1.08524038593,2.20660591988,false,true,within_expected_interval,12.44,73.47,9.97,3360.740287
unemployment_rate,labor_market,idn.13.1311,Dharmasraya,2023,2022,0.996556373371,2.11792190732,false,true,within_expected_interval,12.51,73.84,6.6,3815.293034
unemployment_rate,labor_market,idn.13.1311,Dharmasraya,2024,2023,1.04826439241,2.16962992636,false,true,within_expected_interval,12.68,74.04,7.79,3199.790741
unemployment_rate,labor_market,idn.13.1312,Pasaman Barat,2021,2020,-0.781689053117,0.307408300664,true,false,within_expected_interval,13.61,71.71,15.6,3748.958598
unemployment_rate,labor_market,idn.13.1312,Pasaman Barat,2022,2021,0.218411547935,1.30750890172,true,false,within_expected_interval,13.68,71.83,10.28,3718.636822
unemployment_rate,labor_market,idn.13.1312,Pasaman Barat,2023,2022,-0.179811489769,0.909285864012,true,false,within_expected_interval,13.69,72.14,9.91,4331.760164
unemployment_rate,labor_market,idn.13.1312,Pasaman Barat,2024,2023,0.232671487926,1.32176884171,true,false,within_expected_interval,13.7,72.44,10.88,3782.060938
unemployment_rate,labor_market,idn.13.1371,Padang,2021,2020,4.10527602903,5.22664156299,false,true,materially_less_favorable_than_expected,16.52,74.43,9.9,3833.450096
unemployment_rate,labor_market,idn.13.1371,Padang,2022,2021,3.29216964319,4.41353517714,false,true,materially_less_favorable_than_expected,16.53,74.47,7.67,4272.073887
unemployment_rate,labor_market,idn.13.1371,Padang,2023,2022,2.70823653382,3.82960206777,true,false,materially_less_favorable_than_expected,16.54,74.71,6.29,4965.282037
unemployment_rate,labor_market,idn.13.1371,Padang,2024,2023,2.44858422496,3.56994975891,false,true,materially_less_favorable_than_expected,16.56,74.94,7.99,3578.425027
unemployment_rate,labor_market,idn.13.1372,Solok,2021,2020,-0.68106889413,0.343482209628,true,false,within_expected_interval,14.32,73.86,6.96,3004.073527
unemployment_rate,labor_market,idn.13.1372,Solok,2022,2021,-1.20376924143,-0.179218137668,false,true,within_expected_interval,14.33,73.98,6.29,3274.03972
unemployment_rate,labor_market,idn.13.1372,Solok,2023,2022,-1.14248067478,-0.117929571025,false,true,within_expected_interval,14.34,74.31,5.04,3916.840246
unemployment_rate,labor_market,idn.13.1372,Solok,2024,2023,-1.11711036598,-0.0925592622177,false,true,within_expected_interval,14.36,74.56,7.02,2938.237223
unemployment_rate,labor_market,idn.13.1373,Sawahlunto,2021,2020,0.0400114676698,1.16137700162,false,true,within_expected_interval,13.17,72.81,12.71,2803.900303
unemployment_rate,labor_market,idn.13.1373,Sawahlunto,2022,2021,-0.728611079312,0.39275445464,false,true,within_expected_interval,13.18,73.2,11.56,3005.110378
unemployment_rate,labor_market,idn.13.1373,Sawahlunto,2023,2022,-0.528377598519,0.592987935433,false,true,within_expected_interval,13.42,73.5,7.75,3756.138973
unemployment_rate,labor_market,idn.13.1373,Sawahlunto,2024,2023,-0.202382928389,0.918982605564,false,true,within_expected_interval,13.69,73.79,8.26,2942.35941
unemployment_rate,labor_market,idn.13.1374,Padang Panjang,2021,2020,-1.01130938757,0.0777879662068,true,false,within_expected_interval,15.06,73.83,6.44,2811.671422
unemployment_rate,labor_market,idn.13.1374,Padang Panjang,2022,2021,-1.02077948212,0.0683178716611,true,false,within_expected_interval,15.07,73.93,6.58,3026.15477
unemployment_rate,labor_market,idn.13.1374,Padang Panjang,2023,2022,-0.74341504263,0.345682311151,true,false,within_expected_interval,15.07,74.03,2.04,3651.476589
unemployment_rate,labor_market,idn.13.1374,Padang Panjang,2024,2023,-0.915378446727,0.173718907055,true,false,within_expected_interval,15.29,74.24,5.75,2824.530171
unemployment_rate,labor_market,idn.13.1375,Bukittinggi,2021,2020,-0.0245931412981,1.09677239265,true,false,within_expected_interval,14.97,74.58,8.89,2266.408824
unemployment_rate,labor_market,idn.13.1375,Bukittinggi,2022,2021,-0.628554806587,0.492810727365,true,false,within_expected_interval,14.98,74.7,7.9,2376.071718
unemployment_rate,labor_market,idn.13.1375,Bukittinggi,2023,2022,-0.765824404369,0.355541129583,true,false,within_expected_interval,14.99,75.02,4.25,3069.58042
unemployment_rate,labor_market,idn.13.1375,Bukittinggi,2024,2023,-0.527046724221,0.594318809731,true,false,within_expected_interval,15.01,75.33,7.07,2354.011592
unemployment_rate,labor_market,idn.13.1376,Payakumbuh,2021,2020,0.27976860414,1.40113413809,false,true,within_expected_interval,14.26,74.08,7.25,2261.885902
unemployment_rate,labor_market,idn.13.1376,Payakumbuh,2022,2021,-0.092475735446,1.02888979851,false,true,within_expected_interval,14.27,74.18,8.24,2362.419395
